attendance,previous_cgpa,subject_difficulty,internal_marks,mid_sem_1,mid_sem_2,end_sem_marks
94.0,10.0,9.9,20.0,10.0,7.0,32.0
82.0,7.46,9.7,15.0,3.0,1.0,24.0
71.0,7.65,9.2,16.0,5.0,3.0,19.0
93.0,9.38,5.5,20.0,15.0,12.0,45.0
97.0,9.36,10.0,18.0,6.0,9.0,28.0
74.0,8.29,8.0,13.0,7.0,8.0,27.0
100.0,9.72,6.1,20.0,14.0,15.0,43.0
87.0,9.09,8.4,20.0,11.0,13.0,29.0
68.0,7.18,9.3,12.0,6.0,6.0,15.0
93.0,8.89,5.6,18.0,13.0,13.0,47.0
100.0,9.02,9.6,20.0,8.0,10.0,39.0
85.0,8.85,9.6,18.0,14.0,15.0,38.0
84.0,8.13,5.1,18.0,7.0,4.0,31.0
86.0,8.88,9.5,17.0,10.0,15.0,33.0
87.0,8.77,9.7,17.0,9.0,6.0,32.0
82.0,8.48,5.2,17.0,10.0,9.0,32.0
82.0,9.3,6.5,10.0,11.0,11.0,42.0
81.0,8.34,6.9,20.0,10.0,10.0,27.0
86.0,8.73,6.7,17.0,8.0,12.0,37.0
83.0,8.72,8.8,17.0,9.0,11.0,27.0
79.0,7.54,6.8,20.0,5.0,6.0,24.0
96.0,9.28,9.8,18.0,10.0,12.0,49.0
92.0,9.84,10.0,20.0,11.0,12.0,36.0
89.0,8.89,6.6,19.0,12.0,11.0,44.0
63.0,8.15,7.5,13.0,7.0,8.0,22.0
92.0,9.79,7.8,20.0,8.0,8.0,39.0
91.0,7.62,7.9,17.0,7.0,5.0,22.0
93.0,10.0,6.9,15.0,12.0,15.0,48.0
91.0,8.31,5.8,16.0,7.0,7.0,33.0
79.0,8.52,5.3,18.0,7.0,5.0,29.0
80.0,8.05,5.5,14.0,10.0,8.0,31.0
78.0,7.95,9.5,12.0,11.0,12.0,26.0
86.0,8.15,6.4,17.0,8.0,10.0,33.0
86.0,7.52,5.4,18.0,6.0,7.0,29.0
87.0,8.48,8.1,17.0,9.0,10.0,33.0
89.0,0.0,5.4,19.0,12.0,10.0,31.0
78.0,0.0,5.4,18.0,9.0,9.0,26.0
93.0,10.0,8.1,20.0,10.0,9.0,35.0
75.0,7.62,8.0,15.0,5.0,5.0,11.0
79.0,0.0,5.2,15.0,6.0,6.0,21.0
94.0,8.36,7.3,20.0,10.0,9.0,30.0
88.0,8.99,7.2,18.0,12.0,14.0,40.0
54.0,5.95,7.7,9.0,8.0,6.0,18.0
99.0,9.94,8.7,20.0,9.0,6.0,35.0
77.0,6.84,6.4,16.0,8.0,6.0,25.0
76.0,0.0,7.2,17.0,7.0,9.0,37.0
76.0,0.0,9.0,14.0,6.0,7.0,25.0
96.0,9.17,9.6,20.0,7.0,3.0,26.0
88.0,8.8,9.5,14.0,9.0,10.0,37.0
84.0,9.14,7.4,20.0,8.0,8.0,40.0
66.0,6.77,7.6,9.0,9.0,8.0,11.0
70.0,7.18,7.6,11.0,5.0,5.0,22.0
90.0,9.28,9.3,19.0,11.0,8.0,31.0
83.0,8.4,9.2,16.0,7.0,7.0,24.0
81.0,8.97,6.6,16.0,15.0,12.0,40.0
87.0,8.87,5.8,16.0,12.0,11.0,34.0
93.0,9.21,6.9,17.0,13.0,12.0,41.0
93.0,9.54,6.4,19.0,11.0,13.0,40.0
83.0,8.19,9.8,17.0,10.0,10.0,25.0
94.0,7.77,6.3,20.0,10.0,11.0,29.0
87.0,8.47,5.9,18.0,9.0,7.0,27.0
92.0,9.35,9.5,18.0,7.0,7.0,28.0
91.0,9.32,5.4,20.0,12.0,13.0,38.0
91.0,9.13,6.3,15.0,10.0,12.0,38.0
95.0,9.72,7.2,14.0,14.0,12.0,36.0
87.0,8.66,8.0,14.0,8.0,6.0,27.0
97.0,0.0,6.6,19.0,9.0,10.0,46.0
77.0,7.36,7.5,16.0,8.0,11.0,19.0
82.0,8.64,6.0,11.0,11.0,12.0,33.0
69.0,6.61,7.9,14.0,1.0,0.0,20.0
92.0,8.21,7.0,18.0,11.0,9.0,19.0
88.0,9.66,9.2,18.0,13.0,13.0,29.0
82.0,8.81,7.1,13.0,8.0,9.0,25.0
95.0,8.56,7.2,20.0,9.0,9.0,39.0
84.0,8.69,8.0,17.0,11.0,9.0,32.0
72.0,7.22,5.6,12.0,4.0,6.0,15.0
79.0,8.15,5.8,16.0,8.0,7.0,29.0
97.0,9.55,9.0,20.0,8.0,9.0,37.0
90.0,0.0,6.4,15.0,10.0,6.0,35.0
85.0,0.0,8.4,14.0,12.0,14.0,36.0
93.0,8.83,5.5,18.0,12.0,11.0,32.0
62.0,7.03,9.1,12.0,7.0,10.0,17.0
79.0,8.83,9.9,17.0,7.0,8.0,19.0
85.0,8.45,6.9,20.0,10.0,7.0,33.0
75.0,7.48,7.5,17.0,6.0,6.0,26.0
74.0,7.44,7.2,12.0,8.0,11.0,30.0
92.0,0.0,9.5,16.0,9.0,8.0,32.0
77.0,6.94,5.0,14.0,7.0,10.0,27.0
100.0,9.9,8.3,20.0,11.0,12.0,35.0
93.0,8.88,8.3,20.0,11.0,14.0,33.0
98.0,9.13,6.9,20.0,15.0,15.0,41.0
70.0,6.06,6.1,15.0,8.0,8.0,26.0
86.0,8.26,6.2,16.0,11.0,15.0,21.0
92.0,9.7,9.0,18.0,14.0,15.0,29.0
84.0,9.47,5.3,14.0,15.0,15.0,43.0
91.0,0.0,7.8,19.0,10.0,11.0,40.0
78.0,7.9,6.5,14.0,9.0,8.0,32.0
81.0,8.6,6.3,19.0,10.0,10.0,30.0
84.0,7.71,7.5,18.0,9.0,11.0,33.0
74.0,7.46,9.5,19.0,4.0,4.0,23.0
88.0,9.48,8.1,18.0,10.0,8.0,28.0
89.0,8.49,8.9,19.0,6.0,4.0,33.0
84.0,7.81,8.0,16.0,9.0,9.0,30.0
99.0,9.36,8.5,19.0,10.0,8.0,30.0
85.0,8.2,7.2,16.0,9.0,6.0,31.0
90.0,9.63,9.6,20.0,9.0,7.0,25.0
87.0,9.65,7.5,15.0,9.0,11.0,40.0
80.0,8.45,7.8,16.0,5.0,5.0,20.0
91.0,9.12,7.6,15.0,9.0,9.0,35.0
90.0,9.7,6.6,19.0,12.0,10.0,39.0
91.0,8.95,6.2,17.0,12.0,11.0,50.0
85.0,9.44,5.4,18.0,13.0,12.0,48.0
100.0,10.0,8.6,19.0,12.0,11.0,39.0
92.0,9.7,6.4,18.0,13.0,10.0,46.0
87.0,9.46,6.9,19.0,11.0,13.0,38.0
100.0,9.51,9.6,20.0,10.0,10.0,31.0
86.0,8.11,7.8,20.0,10.0,10.0,32.0
84.0,8.47,5.5,16.0,8.0,10.0,36.0
71.0,7.32,9.0,13.0,11.0,13.0,20.0
88.0,0.0,6.3,20.0,10.0,9.0,50.0
83.0,9.99,7.8,16.0,10.0,11.0,33.0
100.0,9.14,7.5,19.0,11.0,12.0,39.0
86.0,9.15,6.2,18.0,9.0,10.0,39.0
77.0,8.1,5.6,15.0,8.0,10.0,16.0
75.0,8.31,6.1,14.0,8.0,10.0,34.0
97.0,8.73,5.5,18.0,7.0,8.0,38.0
100.0,9.38,6.4,20.0,15.0,15.0,47.0
90.0,9.6,10.0,18.0,10.0,10.0,34.0
85.0,8.65,7.0,16.0,11.0,11.0,45.0
89.0,8.66,9.3,17.0,10.0,12.0,34.0
79.0,7.66,7.7,17.0,6.0,6.0,23.0
90.0,8.79,8.3,20.0,8.0,9.0,24.0
78.0,7.68,5.8,15.0,14.0,13.0,33.0
100.0,9.69,6.4,18.0,9.0,4.0,49.0
81.0,6.97,7.6,20.0,5.0,6.0,21.0
77.0,8.39,9.4,16.0,6.0,3.0,25.0
95.0,10.0,5.2,19.0,15.0,14.0,46.0
67.0,6.57,7.5,14.0,5.0,7.0,25.0
99.0,9.39,5.3,17.0,13.0,15.0,40.0
80.0,8.01,7.3,16.0,8.0,10.0,34.0
93.0,9.46,8.1,20.0,12.0,8.0,30.0
93.0,9.66,8.7,20.0,11.0,12.0,32.0
80.0,8.52,5.7,15.0,10.0,9.0,41.0
71.0,8.11,5.8,15.0,11.0,13.0,23.0
76.0,7.92,7.4,18.0,7.0,10.0,16.0
99.0,9.45,10.0,20.0,8.0,5.0,36.0
74.0,7.51,6.8,16.0,8.0,8.0,23.0
89.0,0.0,7.1,19.0,15.0,15.0,39.0
87.0,8.11,7.2,16.0,10.0,9.0,28.0
82.0,9.13,5.4,15.0,12.0,15.0,29.0
78.0,0.0,8.9,18.0,3.0,2.0,23.0
82.0,8.33,6.3,11.0,12.0,11.0,35.0
87.0,9.37,8.5,16.0,12.0,10.0,31.0
84.0,8.34,7.4,14.0,9.0,9.0,21.0
77.0,8.7,8.1,18.0,8.0,2.0,20.0
80.0,8.18,5.3,19.0,15.0,15.0,25.0
83.0,7.14,9.4,15.0,9.0,12.0,26.0
76.0,8.67,6.2,20.0,13.0,10.0,37.0
95.0,7.87,8.4,20.0,9.0,6.0,34.0
64.0,6.62,9.0,13.0,3.0,5.0,15.0
85.0,8.29,7.7,20.0,12.0,15.0,39.0
82.0,0.0,6.7,15.0,10.0,7.0,41.0
95.0,8.79,9.9,18.0,9.0,12.0,36.0
87.0,9.16,6.4,18.0,10.0,11.0,36.0
100.0,8.75,9.7,19.0,9.0,11.0,34.0
68.0,7.16,5.8,11.0,7.0,5.0,24.0
98.0,9.92,6.9,18.0,13.0,15.0,40.0
92.0,9.76,5.7,18.0,14.0,13.0,38.0
85.0,8.56,5.0,18.0,8.0,7.0,40.0
88.0,8.82,6.3,17.0,5.0,6.0,28.0
85.0,9.29,5.4,14.0,11.0,10.0,35.0
92.0,8.65,9.9,19.0,10.0,7.0,30.0
82.0,8.68,8.8,19.0,10.0,10.0,26.0
96.0,10.0,5.0,18.0,12.0,11.0,44.0
91.0,8.25,6.1,20.0,12.0,10.0,36.0
78.0,0.0,8.4,17.0,11.0,13.0,32.0
78.0,6.82,7.0,13.0,7.0,12.0,25.0
90.0,9.98,9.2,17.0,9.0,7.0,47.0
88.0,8.87,7.5,17.0,9.0,9.0,32.0
93.0,8.52,8.3,18.0,10.0,9.0,30.0
85.0,7.69,8.0,12.0,12.0,15.0,19.0
75.0,0.0,8.2,13.0,6.0,7.0,13.0
87.0,8.99,6.2,16.0,12.0,14.0,39.0
83.0,8.93,6.9,20.0,8.0,10.0,37.0
84.0,7.41,5.3,17.0,8.0,8.0,32.0
82.0,8.57,7.9,15.0,8.0,8.0,33.0
80.0,8.0,7.3,15.0,9.0,12.0,35.0
94.0,8.25,8.8,20.0,6.0,8.0,40.0
86.0,8.5,6.0,16.0,11.0,9.0,38.0
83.0,7.6,7.2,15.0,7.0,6.0,24.0
86.0,8.46,5.9,16.0,12.0,11.0,37.0
96.0,9.64,8.1,20.0,10.0,12.0,43.0
80.0,8.39,9.2,13.0,7.0,10.0,26.0
73.0,7.73,8.8,12.0,7.0,11.0,20.0
78.0,7.91,9.7,14.0,7.0,6.0,23.0
75.0,7.83,9.9,13.0,10.0,10.0,17.0
93.0,9.4,8.9,17.0,13.0,12.0,41.0
82.0,7.93,6.4,18.0,8.0,8.0,22.0
97.0,9.7,6.1,20.0,14.0,15.0,41.0
68.0,7.49,7.2,14.0,1.0,1.0,23.0
87.0,8.67,10.0,18.0,11.0,14.0,24.0
86.0,8.97,7.1,16.0,11.0,10.0,35.0
95.0,9.0,6.0,15.0,11.0,12.0,39.0
88.0,9.35,9.7,18.0,10.0,9.0,30.0
84.0,8.09,6.9,17.0,11.0,7.0,28.0
91.0,7.49,8.5,17.0,8.0,6.0,36.0
95.0,8.72,8.9,17.0,11.0,11.0,36.0
99.0,9.58,9.2,17.0,12.0,15.0,29.0
91.0,8.35,9.1,19.0,9.0,8.0,29.0
90.0,9.48,9.2,18.0,10.0,10.0,44.0
92.0,8.19,8.3,20.0,10.0,11.0,32.0
92.0,8.5,7.0,17.0,12.0,11.0,39.0
100.0,8.82,8.3,19.0,12.0,11.0,30.0
97.0,8.77,9.2,19.0,8.0,8.0,29.0
89.0,8.23,6.8,17.0,11.0,10.0,21.0
76.0,7.94,6.5,17.0,8.0,4.0,35.0
87.0,9.37,6.7,20.0,14.0,13.0,29.0
92.0,9.66,7.8,16.0,11.0,12.0,38.0
85.0,8.53,5.3,16.0,12.0,13.0,50.0
85.0,7.79,8.9,20.0,4.0,7.0,27.0
87.0,8.71,5.7,18.0,10.0,13.0,39.0
75.0,6.07,5.7,15.0,8.0,6.0,24.0
72.0,7.83,6.0,15.0,8.0,7.0,23.0
98.0,9.16,7.9,20.0,11.0,10.0,39.0
95.0,9.97,6.4,20.0,15.0,15.0,43.0
85.0,9.22,6.8,17.0,14.0,13.0,37.0
95.0,8.41,9.7,19.0,7.0,7.0,29.0
86.0,8.53,9.2,20.0,10.0,8.0,30.0
79.0,6.72,9.3,15.0,3.0,5.0,30.0
98.0,9.76,7.9,20.0,13.0,11.0,40.0
95.0,8.43,9.3,20.0,11.0,9.0,28.0
80.0,7.44,8.9,17.0,9.0,10.0,19.0
84.0,9.02,9.8,17.0,9.0,10.0,38.0
73.0,6.89,5.3,16.0,7.0,7.0,32.0
96.0,0.0,5.1,20.0,11.0,13.0,31.0
100.0,0.0,5.9,19.0,15.0,15.0,48.0
91.0,7.65,9.6,19.0,8.0,12.0,22.0
90.0,9.59,8.0,16.0,11.0,12.0,35.0
75.0,7.59,7.1,19.0,3.0,6.0,20.0
92.0,9.33,7.6,19.0,10.0,10.0,50.0
90.0,9.66,9.1,16.0,11.0,14.0,32.0
84.0,9.34,9.6,16.0,5.0,8.0,23.0
98.0,8.18,8.6,20.0,10.0,10.0,28.0
100.0,9.25,8.8,18.0,10.0,9.0,50.0
93.0,9.33,6.6,20.0,9.0,8.0,37.0
80.0,8.64,7.3,13.0,8.0,9.0,26.0
79.0,8.0,9.4,18.0,9.0,7.0,15.0
85.0,8.9,8.9,16.0,9.0,8.0,21.0
84.0,10.0,8.4,15.0,9.0,11.0,40.0
73.0,7.2,5.3,16.0,8.0,9.0,15.0
67.0,7.26,5.2,12.0,8.0,3.0,27.0
79.0,8.43,5.7,19.0,9.0,6.0,36.0
81.0,8.2,7.9,13.0,10.0,14.0,27.0
93.0,9.93,7.7,20.0,14.0,15.0,45.0
83.0,8.42,9.7,16.0,9.0,8.0,30.0
88.0,9.22,8.5,18.0,8.0,5.0,32.0
80.0,9.4,6.5,17.0,9.0,7.0,33.0
97.0,9.15,5.8,16.0,8.0,9.0,40.0
88.0,9.52,9.2,18.0,9.0,13.0,36.0
85.0,8.44,7.3,19.0,10.0,14.0,37.0
74.0,7.26,8.3,16.0,6.0,3.0,22.0
83.0,8.75,7.8,16.0,8.0,7.0,30.0
100.0,10.0,5.5,17.0,15.0,13.0,46.0
94.0,8.33,5.3,20.0,12.0,12.0,49.0
90.0,8.44,6.9,20.0,10.0,7.0,27.0
96.0,9.44,6.8,20.0,8.0,7.0,35.0
84.0,7.81,8.4,19.0,13.0,11.0,27.0
89.0,8.32,8.2,20.0,7.0,8.0,28.0
73.0,8.52,9.8,14.0,6.0,5.0,26.0
94.0,10.0,9.3,19.0,12.0,11.0,30.0
90.0,7.35,7.5,20.0,9.0,10.0,25.0
100.0,8.9,7.5,17.0,14.0,15.0,45.0
69.0,7.74,8.4,15.0,8.0,12.0,20.0
96.0,9.8,5.6,20.0,13.0,14.0,37.0
79.0,8.35,10.0,16.0,9.0,9.0,23.0
96.0,9.47,7.6,20.0,12.0,15.0,36.0
85.0,9.16,9.5,16.0,8.0,10.0,38.0
99.0,10.0,9.8,20.0,12.0,14.0,28.0
80.0,8.43,7.9,15.0,9.0,6.0,28.0
81.0,8.31,5.5,17.0,9.0,11.0,33.0
90.0,8.37,7.9,18.0,10.0,11.0,34.0
99.0,9.78,8.0,16.0,10.0,8.0,29.0
87.0,9.21,8.9,16.0,9.0,8.0,27.0
96.0,9.44,5.2,20.0,15.0,15.0,37.0
83.0,8.11,7.3,18.0,6.0,1.0,20.0
96.0,9.74,9.6,15.0,8.0,8.0,32.0
97.0,9.44,10.0,20.0,11.0,10.0,38.0
85.0,0.0,6.0,15.0,12.0,10.0,36.0
93.0,8.38,9.4,20.0,11.0,10.0,35.0
88.0,9.02,5.7,20.0,12.0,9.0,39.0
96.0,9.37,9.2,19.0,7.0,9.0,31.0
89.0,9.66,6.4,16.0,11.0,7.0,26.0
72.0,7.45,9.8,13.0,6.0,6.0,23.0
68.0,7.63,8.5,15.0,6.0,4.0,18.0
95.0,0.0,7.0,17.0,10.0,14.0,29.0
82.0,8.59,6.4,15.0,7.0,7.0,26.0
84.0,8.94,6.2,18.0,9.0,5.0,31.0
87.0,9.25,8.4,16.0,8.0,9.0,36.0
96.0,9.17,9.5,20.0,7.0,5.0,34.0
83.0,8.43,8.8,15.0,10.0,12.0,38.0
79.0,8.19,9.2,9.0,7.0,8.0,23.0
76.0,9.06,8.9,14.0,9.0,12.0,28.0
97.0,9.4,9.9,20.0,10.0,10.0,44.0
85.0,8.64,8.8,19.0,7.0,9.0,46.0
89.0,9.47,6.1,17.0,13.0,13.0,50.0
72.0,7.22,9.0,14.0,11.0,10.0,24.0
76.0,7.33,6.6,15.0,6.0,8.0,23.0
77.0,8.91,10.0,19.0,9.0,7.0,33.0
88.0,8.66,6.9,18.0,11.0,11.0,34.0
99.0,8.29,6.5,19.0,8.0,7.0,41.0
81.0,8.27,6.2,20.0,12.0,14.0,40.0
95.0,9.3,8.3,19.0,10.0,8.0,36.0
76.0,8.62,5.5,11.0,7.0,6.0,20.0
88.0,7.47,9.8,15.0,5.0,5.0,16.0
75.0,7.63,6.5,16.0,7.0,10.0,27.0
85.0,8.57,6.5,13.0,12.0,11.0,30.0
91.0,8.51,5.2,19.0,9.0,8.0,33.0
92.0,9.08,6.2,17.0,15.0,12.0,39.0
74.0,7.13,7.1,17.0,5.0,3.0,24.0
79.0,7.12,6.8,16.0,10.0,11.0,23.0
84.0,8.29,6.4,14.0,6.0,6.0,30.0
95.0,9.67,5.2,20.0,13.0,13.0,50.0
93.0,0.0,6.5,20.0,12.0,15.0,35.0
92.0,9.28,8.9,16.0,9.0,6.0,40.0
74.0,8.47,7.2,13.0,11.0,15.0,25.0
92.0,9.49,6.5,19.0,13.0,15.0,42.0
79.0,7.96,6.5,17.0,9.0,8.0,37.0
78.0,7.74,7.8,20.0,10.0,11.0,21.0
79.0,8.4,6.5,18.0,7.0,6.0,28.0
100.0,9.53,8.2,20.0,14.0,15.0,42.0
84.0,7.34,9.9,17.0,9.0,13.0,27.0
71.0,7.19,5.2,15.0,11.0,10.0,31.0
81.0,8.03,5.8,15.0,11.0,11.0,31.0
83.0,9.09,5.9,16.0,8.0,6.0,25.0
77.0,7.25,7.2,16.0,10.0,9.0,20.0
93.0,8.95,5.2,17.0,13.0,12.0,45.0
88.0,8.19,7.4,12.0,11.0,9.0,38.0
98.0,10.0,9.6,18.0,12.0,11.0,46.0
76.0,7.9,5.1,17.0,13.0,13.0,34.0
86.0,8.72,6.8,17.0,9.0,8.0,41.0
79.0,8.46,8.8,16.0,5.0,0.0,22.0
95.0,9.69,5.8,17.0,15.0,15.0,35.0
91.0,9.85,5.4,19.0,11.0,11.0,50.0
51.0,5.59,8.2,14.0,0.0,4.0,17.0
88.0,8.79,5.0,20.0,11.0,11.0,36.0
77.0,8.17,9.0,16.0,8.0,10.0,23.0
68.0,7.24,5.3,12.0,7.0,6.0,27.0
82.0,7.83,7.6,20.0,10.0,13.0,29.0
81.0,8.75,8.7,18.0,10.0,8.0,40.0
78.0,8.17,6.2,13.0,9.0,10.0,35.0
89.0,9.45,5.5,14.0,12.0,14.0,42.0
86.0,8.65,5.9,14.0,10.0,11.0,20.0
93.0,9.84,9.3,18.0,10.0,14.0,36.0
84.0,0.0,8.5,19.0,5.0,4.0,37.0
88.0,0.0,6.0,19.0,12.0,15.0,39.0
76.0,7.08,8.6,16.0,8.0,10.0,25.0
87.0,7.57,8.5,17.0,8.0,8.0,29.0
80.0,7.02,10.0,20.0,1.0,5.0,17.0
93.0,8.44,7.0,19.0,9.0,9.0,41.0
95.0,8.24,9.3,19.0,11.0,11.0,33.0
85.0,7.66,7.2,16.0,6.0,6.0,26.0
71.0,7.83,9.5,19.0,7.0,4.0,18.0
81.0,8.43,5.5,18.0,9.0,11.0,39.0
83.0,8.48,5.9,15.0,11.0,12.0,28.0
76.0,8.74,9.2,13.0,5.0,5.0,22.0
90.0,7.81,9.1,15.0,6.0,10.0,29.0
71.0,7.92,6.5,14.0,10.0,9.0,15.0
83.0,8.25,8.0,14.0,10.0,7.0,32.0
83.0,9.06,6.9,14.0,11.0,15.0,35.0
81.0,8.06,5.1,18.0,11.0,13.0,34.0
88.0,0.0,5.1,19.0,13.0,14.0,47.0
61.0,6.5,5.3,15.0,6.0,5.0,14.0
83.0,8.84,8.0,14.0,8.0,9.0,28.0
86.0,7.27,6.4,15.0,12.0,9.0,24.0
90.0,10.0,5.7,17.0,14.0,14.0,36.0
89.0,9.24,9.7,20.0,10.0,8.0,31.0
91.0,9.26,5.6,18.0,11.0,12.0,33.0
91.0,0.0,8.4,20.0,8.0,10.0,38.0
75.0,7.29,9.5,16.0,5.0,3.0,11.0
74.0,8.43,5.8,15.0,12.0,13.0,19.0
79.0,0.0,6.1,17.0,6.0,6.0,25.0
88.0,9.52,7.9,14.0,14.0,15.0,40.0
88.0,8.5,7.5,13.0,9.0,9.0,28.0
64.0,7.14,7.6,13.0,5.0,6.0,15.0
92.0,8.56,7.8,18.0,8.0,7.0,30.0
91.0,9.01,9.7,20.0,7.0,4.0,26.0
88.0,7.96,5.3,15.0,11.0,8.0,35.0
73.0,7.53,8.8,15.0,7.0,6.0,21.0
74.0,7.4,6.2,16.0,8.0,5.0,24.0
92.0,0.0,6.9,19.0,12.0,15.0,36.0
100.0,10.0,5.4,20.0,12.0,12.0,48.0
92.0,0.0,7.2,17.0,9.0,11.0,33.0
88.0,9.1,9.0,19.0,8.0,10.0,38.0
85.0,0.0,5.5,18.0,11.0,11.0,42.0
90.0,8.23,6.4,20.0,9.0,15.0,25.0
79.0,8.79,6.9,15.0,8.0,14.0,28.0
76.0,7.49,5.5,13.0,7.0,10.0,26.0
100.0,9.98,8.8,19.0,11.0,9.0,32.0
68.0,8.11,8.9,11.0,8.0,11.0,16.0
100.0,9.65,9.2,19.0,11.0,8.0,41.0
69.0,6.96,7.9,13.0,5.0,8.0,15.0
96.0,9.35,7.5,17.0,15.0,10.0,41.0
76.0,7.55,6.3,15.0,10.0,9.0,25.0
64.0,6.69,8.3,10.0,7.0,9.0,8.0
95.0,0.0,7.2,19.0,10.0,11.0,37.0
80.0,8.26,9.9,15.0,7.0,4.0,28.0
88.0,9.03,9.8,17.0,8.0,8.0,21.0
91.0,8.59,9.5,19.0,9.0,10.0,30.0
90.0,8.89,6.8,17.0,12.0,12.0,34.0
69.0,7.78,6.8,12.0,6.0,5.0,20.0
90.0,9.24,9.3,17.0,8.0,10.0,28.0
94.0,8.82,8.6,20.0,11.0,13.0,31.0
73.0,7.65,8.5,17.0,6.0,6.0,16.0
85.0,9.23,6.4,16.0,11.0,14.0,35.0
80.0,8.36,9.2,16.0,8.0,8.0,24.0
65.0,0.0,7.9,10.0,2.0,1.0,9.0
87.0,8.95,7.2,17.0,7.0,10.0,34.0
84.0,8.52,9.3,14.0,5.0,8.0,23.0
78.0,7.73,7.0,15.0,8.0,7.0,20.0
78.0,8.15,8.3,18.0,9.0,7.0,27.0
74.0,6.93,7.3,12.0,8.0,12.0,19.0
77.0,7.59,8.0,14.0,10.0,10.0,25.0
70.0,7.89,5.2,12.0,9.0,9.0,13.0
79.0,9.12,7.3,12.0,9.0,8.0,26.0
89.0,7.51,7.8,20.0,8.0,11.0,34.0
80.0,6.95,7.5,17.0,9.0,13.0,11.0
98.0,10.0,9.2,20.0,9.0,9.0,44.0
86.0,8.21,6.6,15.0,6.0,11.0,28.0
100.0,9.99,9.4,16.0,10.0,9.0,34.0
82.0,8.51,7.0,18.0,7.0,6.0,27.0
86.0,9.19,8.5,16.0,11.0,12.0,42.0
91.0,9.44,5.4,17.0,11.0,9.0,31.0
93.0,9.59,6.0,20.0,13.0,14.0,49.0
84.0,8.56,8.8,17.0,9.0,8.0,34.0
75.0,8.4,5.1,17.0,12.0,9.0,37.0
94.0,9.78,9.8,18.0,7.0,4.0,23.0
96.0,9.23,6.0,18.0,12.0,11.0,41.0
78.0,0.0,9.5,15.0,7.0,8.0,15.0
81.0,8.57,7.6,18.0,10.0,7.0,36.0
82.0,7.53,7.8,17.0,9.0,9.0,18.0
90.0,9.74,5.4,19.0,13.0,13.0,38.0
67.0,6.23,6.8,8.0,4.0,4.0,5.0
83.0,9.1,5.8,13.0,11.0,9.0,35.0
79.0,8.01,7.6,11.0,9.0,9.0,24.0
84.0,8.33,7.8,16.0,10.0,10.0,29.0
83.0,9.11,8.5,14.0,9.0,11.0,28.0
79.0,7.91,9.4,19.0,8.0,5.0,18.0
84.0,7.97,7.3,17.0,6.0,6.0,21.0
83.0,8.85,6.2,17.0,9.0,6.0,29.0
93.0,9.33,6.7,16.0,12.0,12.0,46.0
100.0,8.04,9.2,18.0,9.0,7.0,36.0
100.0,9.23,5.7,20.0,12.0,10.0,46.0
77.0,8.2,8.1,19.0,9.0,9.0,27.0
75.0,7.6,5.1,16.0,12.0,11.0,35.0
92.0,8.95,6.2,14.0,12.0,15.0,40.0
79.0,0.0,8.0,15.0,5.0,7.0,26.0
100.0,9.07,7.3,20.0,10.0,12.0,41.0
89.0,8.84,7.5,17.0,11.0,13.0,33.0
93.0,9.28,8.3,14.0,9.0,9.0,28.0
92.0,8.09,6.2,20.0,9.0,12.0,32.0
71.0,6.91,6.4,13.0,2.0,1.0,8.0
88.0,9.88,8.4,15.0,13.0,15.0,31.0
77.0,8.0,7.7,15.0,9.0,7.0,30.0
95.0,9.48,5.1,20.0,14.0,12.0,39.0
87.0,9.0,8.4,18.0,10.0,7.0,34.0
93.0,9.31,8.1,16.0,11.0,9.0,42.0
100.0,8.93,5.4,17.0,15.0,12.0,48.0
87.0,8.48,8.7,13.0,6.0,6.0,23.0
94.0,8.16,7.6,18.0,7.0,9.0,36.0
91.0,8.64,6.0,17.0,9.0,9.0,39.0
83.0,9.43,7.8,18.0,10.0,7.0,38.0
75.0,7.49,8.0,14.0,8.0,7.0,16.0
88.0,8.87,9.6,20.0,8.0,10.0,29.0
89.0,0.0,8.7,19.0,8.0,7.0,29.0
91.0,9.12,6.5,17.0,13.0,11.0,37.0
100.0,9.09,5.6,20.0,12.0,9.0,47.0
83.0,8.5,9.3,19.0,9.0,8.0,28.0
81.0,7.92,9.2,14.0,6.0,5.0,30.0
100.0,10.0,5.9,20.0,15.0,15.0,45.0
66.0,0.0,5.3,13.0,7.0,8.0,13.0
94.0,10.0,8.6,18.0,8.0,7.0,32.0
82.0,8.05,8.6,18.0,8.0,8.0,26.0
95.0,9.96,5.9,20.0,9.0,10.0,40.0
90.0,10.0,8.3,19.0,13.0,11.0,36.0
83.0,0.0,6.4,17.0,12.0,15.0,25.0
91.0,8.67,6.3,17.0,7.0,6.0,38.0
76.0,8.94,6.6,16.0,6.0,7.0,26.0
75.0,6.02,7.6,12.0,6.0,4.0,24.0
77.0,7.22,9.0,20.0,6.0,6.0,11.0
93.0,9.44,7.5,20.0,9.0,9.0,23.0
87.0,9.1,6.5,19.0,8.0,11.0,45.0
92.0,0.0,9.4,19.0,10.0,10.0,36.0
84.0,7.24,5.3,18.0,11.0,14.0,36.0
73.0,6.96,9.0,11.0,12.0,13.0,23.0
71.0,7.43,8.9,12.0,9.0,13.0,22.0
91.0,9.36,6.3,16.0,9.0,5.0,38.0
100.0,0.0,6.0,20.0,14.0,15.0,37.0
100.0,9.29,9.4,19.0,12.0,7.0,36.0
